location,lon,lat,Colinus virginianus,Coturnix coturnix,Alectoris graeca,Alectoris chukar,Alectoris barbara,Alectoris rufa,Syrmaticus reevesii,Chrysolophus pictus,Chrysolophus amherstiae,Phasianus colchicus,Perdix perdix,Meleagris gallopavo,Lagopus lagopus,Lagopus muta,Tetrao urogallus,Lyrurus tetrix,Oxyura jamaicensis,Oxyura leucocephala,Cygnus olor,Cygnus cygnus,Branta leucopsis,Branta canadensis,Anser anser,Anser fabalis,Anser brachyrhynchus,Anser albifrons,Anser erythropus,Clangula hyemalis,Somateria mollissima,Melanitta fusca,Melanitta nigra,Bucephala clangula,Mergellus albellus,Mergus merganser,Mergus serrator,Alopochen aegyptiaca,Tadorna tadorna,Tadorna ferruginea,Aix sponsa,Aix galericulata,Marmaronetta angustirostris,Netta rufina,Aythya ferina,Aythya nyroca,Aythya fuligula,Aythya marila,Spatula querquedula,Spatula clypeata,Mareca strepera,Mareca penelope,Anas platyrhynchos,Anas acuta,Anas crecca,Tachybaptus ruficollis,Podiceps grisegena,Podiceps cristatus,Podiceps auritus,Podiceps nigricollis,Phoenicopterus roseus,Columba livia,Columba oenas,Columba palumbus,Streptopelia turtur,Streptopelia decaocto,Spilopelia senegalensis,Pterocles orientalis,Pterocles alchata,Caprimulgus ruficollis,Caprimulgus europaeus,Tachymarptis melba,Apus caffer,Apus pallidus,Apus apus,Clamator glandarius,Cuculus canorus,Cuculus saturatus,Rallus aquaticus,Crex crex,Porzana porzana,Porphyrio porphyrio,Gallinula chloropus,Fulica cristata,Fulica atra,Grus grus,Tetrax tetrax,Otis tarda,Gavia stellata,Gavia arctica,Hydrobates pelagicus,Hydrobates castro,Hydrobates leucorhous,Fulmarus glacialis,Calonectris diomedea,Puffinus puffinus,Puffinus yelkouan,Ciconia nigra,Ciconia ciconia,Platalea leucorodia,Plegadis falcinellus,Botaurus stellaris,Ixobrychus minutus,Nycticorax nycticorax,Ardeola ralloides,Bubulcus ibis,Ardea cinerea,Ardea purpurea,Ardea alba,Egretta garzetta,Pelecanus crispus,Pelecanus onocrotalus,Morus bassanus,Microcarbo pygmaeus,Phalacrocorax carbo,Burhinus oedicnemus,Haematopus ostralegus,Recurvirostra avosetta,Himantopus himantopus,Pluvialis apricaria,Eudromias morinellus,Charadrius hiaticula,Charadrius dubius,Charadrius alexandrinus,Vanellus vanellus,Vanellus spinosus,Numenius phaeopus,Numenius arquata,Limosa lapponica,Limosa limosa,Arenaria interpres,Calidris pugnax,Calidris falcinellus,Calidris temminckii,Calidris alpina,Calidris maritima,Calidris minuta,Calidris melanotos,Scolopax rusticola,Gallinago media,Gallinago gallinago,Lymnocryptes minimus,Phalaropus lobatus,Phalaropus fulicarius,Xenus cinereus,Actitis hypoleucos,Tringa ochropus,Tringa nebularia,Tringa totanus,Tringa glareola,Tringa erythropus,Tringa stagnatilis,Glareola pratincola,Glareola nordmanni,Hydrocoloeus minutus,Rissa tridactyla,Larus genei,Larus ridibundus,Larus melanocephalus,Larus audouinii,Larus canus,Larus fuscus,Larus argentatus,Larus michahellis,Larus marinus,Sternula albifrons,Gelochelidon nilotica,Hydroprogne caspia,Chlidonias hybrida,Chlidonias leucopterus,Chlidonias niger,Sterna dougallii,Sterna hirundo,Sterna paradisaea,Thalasseus sandvicensis,Stercorarius longicaudus,Stercorarius parasiticus,Stercorarius pomarinus,Catharacta skua,Fratercula arctica,Cepphus grylle,Alca torda,Uria lomvia,Uria aalge,Tyto alba,Surnia ulula,Glaucidium passerinum,Athene noctua,Aegolius funereus,Otus scops,Asio otus,Asio flammeus,Strix aluco,Strix uralensis,Strix nebulosa,Bubo scandiacus,Bubo bubo,Pandion haliaetus,Elanus caeruleus,Pernis apivorus,Gypaetus barbatus,Neophron percnopterus,Circaetus gallicus,Gyps fulvus,Aegypius monachus,Clanga clanga,Aquila adalberti,Aquila heliaca,Aquila chrysaetos,Aquila fasciata,Hieraaetus pennatus,Circus aeruginosus,Circus cyaneus,Circus macrourus,Circus pygargus,Accipiter brevipes,Accipiter nisus,Accipiter gentilis,Haliaeetus albicilla,Milvus milvus,Milvus migrans,Buteo lagopus,Buteo buteo,Buteo rufinus,Upupa epops,Merops apiaster,Coracias garrulus,Alcedo atthis,Jynx torquilla,Picus canus,Picus viridis,Dryocopus martius,Picoides tridactylus,Leiopicus medius,Dryobates minor,Dendrocopos major,Falco naumanni,Falco tinnunculus,Falco vespertinus,Falco eleonorae,Falco columbarius,Falco subbuteo,Falco biarmicus,Falco cherrug,Falco rusticolus,Falco peregrinus,Myiopsitta monachus,Alexandrinus krameri,Oriolus oriolus,Lanius collurio,Lanius minor,Lanius excubitor,Lanius senator,Lanius nubicus,Pyrrhocorax pyrrhocorax,Pyrrhocorax graculus,Perisoreus infaustus,Garrulus glandarius,Pica pica,Nucifraga caryocatactes,Corvus monedula,Corvus frugilegus,Corvus corax,Corvus corone,Periparus ater,Lophophanes cristatus,Poecile lugubris,Poecile palustris,Poecile montanus,Poecile cinctus,Cyanistes caeruleus,Parus major,Remiz pendulinus,Chersophilus duponti,Alaudala rufescens,Melanocorypha calandra,Calandrella brachydactyla,Eremophila alpestris,Lullula arborea,Alauda arvensis,Galerida theklae,Galerida cristata,Panurus biarmicus,Cisticola juncidis,Iduna caligata,Iduna pallida,Hippolais olivetorum,Hippolais polyglotta,Hippolais icterina,Acrocephalus paludicola,Acrocephalus melanopogon,Acrocephalus schoenobaenus,Acrocephalus dumetorum,Acrocephalus palustris,Acrocephalus scirpaceus,Acrocephalus agricola,Acrocephalus arundinaceus,Locustella lanceolata,Locustella luscinioides,Locustella fluviatilis,Locustella naevia,Delichon urbicum,Cecropis daurica,Hirundo rustica,Ptyonoprogne rupestris,Riparia riparia,Phylloscopus bonelli,Phylloscopus sibilatrix,Phylloscopus trochilus,Phylloscopus collybita,Phylloscopus trochiloides,Phylloscopus borealis,Cettia cetti,Aegithalos caudatus,Sylvia atricapilla,Sylvia borin,Curruca nisoria,Curruca hortensis,Curruca curruca,Curruca melanocephala,Curruca cantillans,Curruca ruppeli,Curruca communis,Curruca conspicillata,Curruca undata,Certhia brachydactyla,Certhia familiaris,Sitta europaea,Sitta neumayer,Tichodroma muraria,Troglodytes troglodytes,Cinclus cinclus,Sturnus vulgaris,Sturnus unicolor,Pastor roseus,Acridotheres tristis,Acridotheres cristatellus,Turdus viscivorus,Turdus philomelos,Turdus iliacus,Turdus merula,Turdus pilaris,Turdus torquatus,Cercotrichas galactotes,Muscicapa striata,Erithacus rubecula,Luscinia svecica,Luscinia luscinia,Luscinia megarhynchos,Tarsiger cyanurus,Ficedula parva,Ficedula semitorquata,Ficedula hypoleuca,Ficedula albicollis,Phoenicurus ochruros,Phoenicurus phoenicurus,Monticola saxatilis,Monticola solitarius,Saxicola rubetra,Saxicola torquatus,Oenanthe oenanthe,Oenanthe isabellina,Oenanthe hispanica,Oenanthe pleschanka,Oenanthe leucura,Regulus regulus,Regulus ignicapilla,Bombycilla garrulus,Prunella collaris,Prunella modularis,Estrilda melpoda,Estrilda astrild,Amandava amandava,Passer domesticus,Passer italiae,Passer hispaniolensis,Passer montanus,Petronia petronia,Montifringilla nivalis,Anthus trivialis,Anthus cervinus,Anthus pratensis,Anthus spinoletta,Anthus petrosus,Anthus campestris,Motacilla flava,Motacilla cinerea,Motacilla citreola,Motacilla alba,Fringilla coelebs,Fringilla montifringilla,Coccothraustes coccothraustes,Carpodacus erythrinus,Pinicola enucleator,Pyrrhula pyrrhula,Bucanetes githagineus,Chloris chloris,Linaria flavirostris,Linaria cannabina,Acanthis flammea,Loxia pytyopsittacus,Loxia scotica,Loxia curvirostra,Loxia leucoptera,Carduelis carduelis,Carduelis citrinella,Serinus serinus,Spinus spinus,Calcarius lapponicus,Plectrophenax nivalis,Emberiza melanocephala,Emberiza calandra,Emberiza cia,Emberiza hortulana,Emberiza caesia,Emberiza cirlus,Emberiza citrinella,Emberiza schoeniclus,Emberiza rustica,Emberiza pusilla
35TNN1,5610918.2690066025,2876033.316031711,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
35TNN2,5621989.15786632,2827090.172120552,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
35TNN4,5670513.659647623,2838532.5240084385,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
35TPJ2,5805860.946658019,2458248.2071955963,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
35TPK1,5773693.1750440495,2605146.194438731,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
35TPK3,5822225.291677328,2616594.3073727875,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
35TPL2,5762863.0551917665,2654116.5523292082,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
35TPL4,5811379.528799788,2665572.504237598,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
35ULA1,5236289.398171606,3611905.198390754,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
35ULA2,5247155.43210999,3562951.09358534,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
35ULA3,5281256.786567561,3623012.2061746903,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
